Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
round4,b613549d-2d5d-4c3d-86da-8efc1fc85199,182052,180192,Tuệ Linh 2,2,3,,6,8,,,4,,,6,,,Team D,,4,,8,,3,,6,,3,6,,
round4,b691e4af-36d2-49d2-a2ab-6d1a76a35684,180217,174954,Front rot,,4,,4,,7,,5,,1,4,,,exe,,3,,3,,1,,5,,7,3,,
round4,b7960b7b-424f-4329-b5f2-1a5191063608,178198,180926,B-Roll,,8,,2,,8,,6,,8,8,,,Portal Mages 7,,3,,4,,5,,3,,3,5,,
round4,bb2a7f35-a69c-47bf-abfc-dee63c07c5ab,175468,178361,No Respec,,7,,8,,8,,6,,8,8,,,False Breakouts,1,,1,,5,,5,,2,,5,,
round4,bc943062-7a02-4597-adf9-267754400464,169878,171364,TheTeam1,,,4,,,3,4,,6,5,5,,,SONIKO,3,,3,,5,,7,,7,,3,,
round4,be35dd47-0a0a-4e46-810d-ffb1c8b1df60,178211,176077,Jedes Huhn findet ein Korn,,4,,6,,8,,8,,8,8,,,lightbeing music,8,,8,,8,,7,,3,,3,,
round4,bf1d7a89-06f5-4bf4-88f8-c9ba782fe00c,181427,180069,porsche,,6,,3,,1,,5,,3,6,,,RUN05,,2,,2,,6,,6,,1,6,,
round4,c0295b24-0c9c-4975-ac13-327d113ed550,176168,179649,FtB2,5,,5,,2,,3,,6,,5,,,Kulalongis™,,8,,8,,2,,6,,5,2,,
round4,c0b08a82-5c20-44d6-9eb6-e74df47f99b6,180261,178418,AB4,5,,5,,5,,4,,4,,4,,,B Squad,,4,,4,,5,,1,,3,5,,
round4,c2bea29f-ae30-44bb-92d6-c2d3bd08029f,181514,175517,CryptoGreen8,,4,,2,,6,,7,,5,6,,,Wizardry Legion,,,7,,,7,7,,7,4,7,,
round4,c2c9d3fc-faf3-492f-aca2-83c036ce1489,171242,179844,Weirdos,,4,,5,,7,,6,,7,4,,,There is nothing to do,,,,,,4,5,1,6,7,4,,
round4,c62b175f-2349-4a9d-b89c-ec60f5c7d600,180227,181441,Snappi,,7,,7,,8,,8,,5,8,,,richard,,6,,4,,1,,5,,3,6,,
round4,c92b60bb-28b9-49ca-9b8e-46608b3854f2,171534,178359,Power Rangers Beta,,,4,,,3,8,,7,7,3,,,(  ͡° ͜ʖ ͡° ),2,,4,,2,,5,,6,,4,,
round4,c9a5cf1f-6e54-4fda-a622-ab40d5e2b47b,171728,170544,Wagcritical,,3,,1,,3,,3,,1,3,,,Rage Quitters,,7,,8,,8,,6,,8,8,,
round4,ca77ef4c-edd5-43bf-a3a3-7a09015b09ce,182138,171225,The Lost Child,,2,,5,,1,,7,,3,5,,,Sandro 5,5,3,,4,7,,,6,,,5,,
round4,cb0f1d1b-bc41-46d1-9653-b8b064631dab,178360,170076,Hold the line,2,,5,,2,,1,,6,,5,,,MEA CULPA,,,2,,,5,5,,5,5,2,,
round4,ccc52271-9b91-465e-b2bf-22e11c457da2,169635,171221,clueless,,6,,7,,7,,1,,5,6,,,Sandro 1,1,1,,1,1,,,6,,,1,,
round4,d002254c-2fb5-42de-8163-0fbb6bc1fd7f,180275,172081,AB7,,7,,7,,7,,7,,7,7,,,Silents Mage Squad,,7,,7,,7,,7,,7,7,,
round4,d07e24c9-d2f7-4cbb-a357-d056bf5cb2c5,171702,181334,Wagmi's Essence,4,,6,,5,,5,,1,,6,,,nephews,,4,,4,,5,,1,,1,1,,
round4,d09b5878-7a34-4daa-85b3-c87b1cb40f94,171734,180188,Wagmi Remembers,,5,,2,,3,,6,,5,5,,,Cut It,,,2,,,3,3,,3,3,2,,
round4,d0b263dc-fb8c-41ad-a344-7d1952aeebe1,179528,182146,Poop,3,,3,,4,,1,,7,,3,,,The Top Gs,,4,,4,,7,,3,,6,7,,
round4,d1bccc67-dd0d-4b86-a9e6-199d64313c88,170348,178144,COOL TEAM,,4,,4,,7,,1,,5,7,,,91,5,8,3,2,4,,,,,,5,,
round4,d4aaaa3b-2280-4d88-b6e2-aeea186a9ff9,179798,181579,2. Wahl,,3,,3,,1,,6,,7,1,,,TANK ME LATER,,2,,5,,4,,6,,4,6,,
round4,d55ac0f4-986d-4a6a-90e0-60a5c69c89d7,177909,180319,OG,,5,,7,,5,,6,,3,5,,,Pong Gang,,2,,2,,7,,1,,6,2,,
round4,d6217a37-ad32-4784-b913-d1efd44fc188,177774,177776,aavegotch1-normie-3,,,2,,,1,1,,1,1,1,,,aavegotch1-normie-5,,6,,7,,7,,7,,7,7,,
round4,d7f74e20-5a6f-424d-82de-13e6c1457b09,172602,180590,CHRONOS - Ghost Recon Unit 2,8,,2,,5,,5,,1,,2,,,ZZZZ,,1,,4,,7,,8,,7,7,,
round4,da6b9813-2141-4b54-90df-3da0ff178eca,174235,175478,GFA 4,,,4,,,5,6,,7,1,6,,,Paper Hands,,6,,7,,7,,4,,7,7,,
round4,dbc197f1-be72-4b5b-aea3-79d10b9e4327,174968,172989,Dely 2,,4,,6,,8,,7,,7,6,,,[HCF] Motley Crue,5,,2,,8,,6,,4,,6,,
round4,dda2ab88-44f0-43b9-b894-93151dd3ae11,171927,179550,Thor,3,,7,,4,,1,,5,,3,,,It's So Fluffy,4,,7,,2,,6,,1,,4,,
round4,df9e6785-d53f-4aa8-a52d-928dd7c7215b,175111,180109,EVG,,5,,7,,5,,7,,3,5,,,RUN06,5,5,5,5,5,,,,,,5,,
round4,e032d652-514a-4f1d-a09a-1168ec377faa,180364,176082,aye,,8,,8,,3,,5,,1,3,,,FrogForce,,,,,,5,3,7,6,3,5,,
round4,e07b1050-8fc5-4ea0-9335-6b664e54cbc1,178123,181432,Sales.team,,5,,5,,2,,7,,6,7,,,cloud,2,,6,,2,,3,,5,,6,,
round4,e0ba4b63-3063-4e6d-a53b-f8b1d9047171,178702,169636,ᕕ(ᐛ)ᕗ,,,4,,,7,7,,7,7,7,,,Singer 2,,,4,,,5,5,,5,5,5,,
round4,e42a6a90-6fd3-4b94-b2ef-9ddf6fe023e8,182458,170784,samie 08,8,,5,,5,,3,,4,,4,,,BB,,,1,,,7,4,,7,7,7,,
